packets,clients,nodes,exec_time,densidade
10000,100,100,0.02319169044494629,
10000,100,100,0.024533510208129883,
10000,100,100,0.023401737213134766,
10000,250,100,0.03360795974731445,
10000,250,100,0.024878978729248047,
10000,250,100,0.02515387535095215,
10000,250,100,0.021895885467529297,
10000,250,100,0.021999597549438477,
10000,500,100,0.029872417449951172,
10000,500,100,0.02172231674194336,
10000,500,100,0.024050235748291016,
10000,500,100,0.021472454071044922,
10000,500,100,0.022834062576293945,
10000,1000,100,0.02843022346496582,
10000,1000,100,0.023843765258789062,
10000,1000,100,0.02302694320678711,
10000,1000,100,0.022534847259521484,
10000,1000,100,0.022504091262817383,
25000,10,250,0.10234451293945312,
25000,10,250,0.09000825881958008,
25000,10,250,0.08993840217590332,
25000,10,250,0.09089255332946777,
25000,10,250,0.07368707656860352,
25000,50,250,0.06301021575927734,
25000,50,250,0.06516003608703613,
25000,50,250,0.05740761756896973,
25000,50,250,0.06064319610595703,
25000,50,250,0.06644177436828613,
25000,100,250,0.05858182907104492,
25000,100,250,0.05902886390686035,
25000,100,250,0.05714273452758789,
25000,100,250,0.06222224235534668,
25000,100,250,0.0700521469116211,
25000,250,250,0.059072256088256836,
25000,250,250,0.05667734146118164,
25000,250,250,0.06267094612121582,
25000,250,250,0.05551433563232422,
25000,250,250,0.05595660209655762,
25000,500,250,0.06723880767822266,
25000,500,250,0.06573605537414551,
25000,500,250,0.05842447280883789,
25000,500,250,0.06438517570495605,
25000,500,250,0.060862064361572266,
25000,1000,250,0.07054591178894043,
25000,1000,250,0.06428766250610352,
25000,1000,250,0.06310129165649414,
25000,1000,250,0.0586552619934082,
25000,1000,250,0.06713700294494629,
100,1,100,0.0036470890045166016,0.01
100,1,100,0.0023488998413085938,0.01
100,1,100,0.002956390380859375,0.01
100,1,100,0.0032575130462646484,0.01
100,1,100,0.003240346908569336,0.01
1000,10,100,0.0050868988037109375,0.1
1000,10,100,0.005302906036376953,0.1
1000,10,100,0.007781982421875,0.1
1000,10,100,0.005480766296386719,0.1
1000,10,100,0.0049762725830078125,0.1
5000,50,100,0.018679141998291016,0.5
5000,50,100,0.011911153793334961,0.5
5000,50,100,0.012824535369873047,0.5
5000,50,100,0.013423681259155273,0.5
5000,50,100,0.016414165496826172,0.5
10000,100,100,0.03791236877441406,1.0
10000,100,100,0.02442169189453125,1.0
10000,100,100,0.022986650466918945,1.0
10000,100,100,0.021712303161621094,1.0
10000,100,100,0.02166152000427246,1.0
20000,200,100,0.04948759078979492,2.0
20000,200,100,0.04758429527282715,2.0
20000,200,100,0.05313897132873535,2.0
20000,200,100,0.05364680290222168,2.0
20000,200,100,0.04961562156677246,2.0
50000,500,100,0.12534499168395996,5.0
50000,500,100,0.18894338607788086,5.0
50000,500,100,0.14268064498901367,5.0
50000,500,100,0.1288750171661377,5.0
50000,500,100,0.1320357322692871,5.0
100000,1000,100,0.31229186058044434,10.0
100000,1000,100,0.24350619316101074,10.0
100000,1000,100,0.2836489677429199,10.0
100000,1000,100,0.3061232566833496,10.0
100000,1000,100,0.25652074813842773,10.0
